wall_time,session_ms,code,kind,delta_x,delta_y
2026-06-20T19:13:58.1201626+02:00,1563.83,A,KeyDown,0,0
2026-06-20T19:13:58.6084872+02:00,2052.153,A,KeyUp,0,0
2026-06-20T19:14:00.1195650+02:00,3563.232,D,KeyDown,0,0
2026-06-20T19:14:00.3643436+02:00,3808.009,A,KeyDown,0,0
2026-06-20T19:14:00.3748184+02:00,3818.485,D,KeyUp,0,0
2026-06-20T19:14:00.4287363+02:00,3872.402,A,KeyUp,0,0
2026-06-20T19:14:00.4880180+02:00,3931.687,M1,MouseDown,0,0
2026-06-20T19:14:00.5541812+02:00,3997.85,M1,MouseUp,0,0
2026-06-20T19:14:01.8823277+02:00,5325.993,D,KeyDown,0,0
2026-06-20T19:14:02.0611648+02:00,5504.832,A,KeyDown,0,0
2026-06-20T19:14:02.0809827+02:00,5524.65,D,KeyUp,0,0
2026-06-20T19:14:02.1240543+02:00,5567.721,A,KeyUp,0,0
2026-06-20T19:14:02.2099788+02:00,5653.648,M1,MouseDown,0,0
2026-06-20T19:14:02.2613021+02:00,5704.971,M1,MouseUp,0,0
2026-06-20T19:14:02.5787148+02:00,6022.381,D,KeyDown,0,0
2026-06-20T19:14:02.7819522+02:00,6225.619,A,KeyDown,0,0
2026-06-20T19:14:02.8000531+02:00,6243.721,D,KeyUp,0,0
2026-06-20T19:14:02.8481072+02:00,6291.773,A,KeyUp,0,0
2026-06-20T19:14:02.9192633+02:00,6362.932,M1,MouseDown,0,0
2026-06-20T19:14:02.9604881+02:00,6404.157,M1,MouseUp,0,0
2026-06-20T19:14:03.1939042+02:00,6637.57,D,KeyDown,0,0
2026-06-20T19:14:03.3517848+02:00,6795.451,A,KeyDown,0,0
2026-06-20T19:14:03.3717204+02:00,6815.387,D,KeyUp,0,0
2026-06-20T19:14:03.4189006+02:00,6862.567,A,KeyUp,0,0
2026-06-20T19:14:03.5031357+02:00,6946.805,M1,MouseDown,0,0
2026-06-20T19:14:03.5594606+02:00,7003.129,M1,MouseUp,0,0
2026-06-20T19:14:03.5761159+02:00,7019.785,MOVE,MouseMove,1,0
2026-06-20T19:14:03.6808007+02:00,7124.466,D,KeyDown,0,0
2026-06-20T19:14:03.9702957+02:00,7413.962,A,KeyDown,0,0
2026-06-20T19:14:04.0032632+02:00,7446.93,D,KeyUp,0,0
2026-06-20T19:14:04.0363469+02:00,7480.014,A,KeyUp,0,0
2026-06-20T19:14:04.0961355+02:00,7539.804,M1,MouseDown,0,0
2026-06-20T19:14:04.1311732+02:00,7574.843,MOVE,MouseMove,-1,0
2026-06-20T19:14:04.1312046+02:00,7574.874,MOVE,MouseMove,-1,0
2026-06-20T19:14:04.1562601+02:00,7599.929,MOVE,MouseMove,0,1
2026-06-20T19:14:04.1566660+02:00,7600.335,M1,MouseUp,0,0
2026-06-20T19:14:04.2619759+02:00,7705.644,D,KeyDown,0,0
2026-06-20T19:14:04.5148071+02:00,7958.472,D,KeyUp,0,0
2026-06-20T19:14:04.5436085+02:00,7987.276,A,KeyDown,0,0
2026-06-20T19:14:04.5765174+02:00,8020.183,A,KeyUp,0,0
2026-06-20T19:14:04.6226026+02:00,8066.272,M1,MouseDown,0,0
2026-06-20T19:14:04.6826527+02:00,8126.322,M1,MouseUp,0,0
2026-06-20T19:14:04.8318055+02:00,8275.473,D,KeyDown,0,0
2026-06-20T19:14:05.1681444+02:00,8611.811,A,KeyDown,0,0
2026-06-20T19:14:05.1896560+02:00,8633.323,D,KeyUp,0,0
2026-06-20T19:14:05.2447999+02:00,8688.467,A,KeyUp,0,0
2026-06-20T19:14:05.3197797+02:00,8763.449,M1,MouseDown,0,0
2026-06-20T19:14:05.3372851+02:00,8780.954,M1,MouseUp,0,0
2026-06-20T19:14:05.8665794+02:00,9310.244,D,KeyDown,0,0
2026-06-20T19:14:06.1114951+02:00,9555.162,A,KeyDown,0,0
2026-06-20T19:14:06.1332296+02:00,9576.897,D,KeyUp,0,0
2026-06-20T19:14:06.1882740+02:00,9631.941,A,KeyUp,0,0
2026-06-20T19:14:06.2301083+02:00,9673.777,M1,MouseDown,0,0
2026-06-20T19:14:06.3101675+02:00,9753.837,M1,MouseUp,0,0
2026-06-20T19:14:06.5125934+02:00,9956.259,D,KeyDown,0,0
2026-06-20T19:14:06.9004552+02:00,10344.121,A,KeyDown,0,0
2026-06-20T19:14:06.9293605+02:00,10373.027,D,KeyUp,0,0
2026-06-20T19:14:06.9810993+02:00,10424.767,A,KeyUp,0,0
2026-06-20T19:14:07.0109652+02:00,10454.634,M1,MouseDown,0,0
2026-06-20T19:14:07.0341329+02:00,10477.802,MOVE,MouseMove,-1,0
2026-06-20T19:14:07.0465756+02:00,10490.245,M1,MouseUp,0,0
2026-06-20T19:14:07.7225246+02:00,11166.19,D,KeyDown,0,0
2026-06-20T19:14:08.0997893+02:00,11543.456,D,KeyUp,0,0
2026-06-20T19:14:08.1409241+02:00,11584.59,A,KeyDown,0,0
2026-06-20T19:14:08.1991001+02:00,11642.77,M1,MouseDown,0,0
2026-06-20T19:14:08.2316314+02:00,11675.298,A,KeyUp,0,0
2026-06-20T19:14:08.2556417+02:00,11699.311,M1,MouseUp,0,0
2026-06-20T19:14:08.7744863+02:00,12218.152,A,KeyDown,0,0
2026-06-20T19:14:09.1174015+02:00,12561.064,A,KeyUp,0,0
2026-06-20T19:14:09.1596083+02:00,12603.27,D,KeyDown,0,0
2026-06-20T19:14:09.2423623+02:00,12686.015,D,KeyUp,0,0
2026-06-20T19:14:09.2814420+02:00,12725.111,M1,MouseDown,0,0
2026-06-20T19:14:09.3610884+02:00,12804.758,M1,MouseUp,0,0
2026-06-20T19:14:10.5066757+02:00,13950.342,D,KeyDown,0,0
2026-06-20T19:14:11.0533916+02:00,14497.06,D,KeyUp,0,0
2026-06-20T19:14:11.1167475+02:00,14560.416,A,KeyDown,0,0
2026-06-20T19:14:11.1511960+02:00,14594.865,A,KeyUp,0,0
2026-06-20T19:14:11.1880121+02:00,14631.681,M1,MouseDown,0,0
2026-06-20T19:14:11.2590561+02:00,14702.725,M1,MouseUp,0,0
2026-06-20T19:14:11.4061452+02:00,14849.813,D,KeyDown,0,0
2026-06-20T19:14:11.6784733+02:00,15122.142,D,KeyUp,0,0
2026-06-20T19:14:11.7485396+02:00,15192.207,A,KeyDown,0,0
2026-06-20T19:14:11.7754437+02:00,15219.113,A,KeyUp,0,0
2026-06-20T19:14:11.8137662+02:00,15257.435,M1,MouseDown,0,0
2026-06-20T19:14:11.8447907+02:00,15288.459,M1,MouseUp,0,0
2026-06-20T19:14:11.9336020+02:00,15377.27,D,KeyDown,0,0
2026-06-20T19:14:12.3752837+02:00,15818.952,D,KeyUp,0,0
2026-06-20T19:14:12.4496611+02:00,15893.329,A,KeyDown,0,0
2026-06-20T19:14:12.4923125+02:00,15935.981,A,KeyUp,0,0
2026-06-20T19:14:12.5188867+02:00,15962.556,M1,MouseDown,0,0
2026-06-20T19:14:12.5476069+02:00,15991.276,M1,MouseUp,0,0
2026-06-20T19:14:12.7806677+02:00,16224.336,D,KeyDown,0,0
2026-06-20T19:14:13.3354835+02:00,16779.153,D,KeyUp,0,0
2026-06-20T19:14:13.3657532+02:00,16809.421,A,KeyDown,0,0
2026-06-20T19:14:13.4106342+02:00,16854.303,A,KeyUp,0,0
2026-06-20T19:14:13.4901245+02:00,16933.794,M1,MouseDown,0,0
