attempt_index,point_index,session_ms,time_from_counter_ms,delta_x,delta_y,x_counts,y_counts,x_degrees,y_degrees
28,0,21363.956,44.584,-8,4,-8,4,-0.0704,0.0352
28,1,21363.972,44.601,-8,4,-16,8,-0.1408,0.0704
28,2,21363.976,44.605,-7,3,-23,11,-0.2024,0.0968
28,3,21363.979,44.608,-8,2,-31,13,-0.2728,0.1144
28,4,21363.982,44.611,-6,2,-37,15,-0.3256,0.132
28,5,21363.986,44.615,-5,1,-42,16,-0.3696,0.1408
28,6,21363.989,44.618,-2,0,-44,16,-0.3872,0.1408
28,7,21400.866,81.495,-1,0,-45,16,-0.396,0.1408
31,0,21985.974,42.77,-2,2,-2,2,-0.0176,0.0176
31,1,21985.991,42.787,0,1,-2,3,-0.0176,0.0264
36,0,24593.954,144.936,1,-2,1,-2,0.0088,-0.0176
